Date,Code,weigh,temperature,Humidity(out),PH,Humidity,sum,result
27,B5,0,25,75,7.3,4.7,0,fail
28,B5,0,25,75,7.3,6,0,fail
29,B5,0,25,75,7.3,6.2,0,fail
1,B6,0,25,75,7,9.2,0,fail
2,B6,0,25,75,7,9,0,fail
3,B6,0,25,75,7,8.8,0,fail
4,B6,0,25,75,7,9,0,fail
5,B6,0,25,75,7,8,0,fail
6,B6,0,25,75,7,7.8,0,fail
7,B6,70,25,75,7,8.3,70,normal
8,B6,0,25,75,7,7,0,fail
9,B6,0,25,75,7,6.7,0,fail
10,B6,0,25,75,7,8.5,0,fail
11,B6,0,25,75,7,9.2,0,fail
12,B6,0,25,75,7,8,0,fail
13,B6,0,25,75,7,7,0,fail
14,B6,0,25,75,7,7.8,0,fail
15,B6,0,25,75,7,6,0,fail
16,B6,0,25,75,7,6.5,0,fail
17,B6,0,25,75,7.2,5,0,fail
18,B6,0,25,75,7.2,6.5,130,fail
19,B6,0,25,75,7.2,4.8,0,fail
20,B6,0,25,75,7.2,6.7,0,fail
21,B6,0,25,75,7.2,5.5,0,fail
22,B6,0,25,75,7.2,4.8,0,fail
23,B6,0,25,75,7.2,4.8,0,fail
24,B6,0,25,75,7.2,6.5,0,fail
25,B6,50,25,75,7.2,6.2,0,bad
26,B6,0,25,75,7.2,7,0,fail
27,B6,0,25,75,7.4,4.7,0,fail
28,B6,0,25,75,7.4,4.8,0,fail
29,B6,0,25,75,7.4,5,0,fail
1,B7,0,25,75,7,7,0,fail
2,B7,0,25,75,7,6.5,0,fail
3,B7,0,25,75,7,5.2,0,fail
4,B7,30,25,75,7,4.8,30,very bad
5,B7,0,25,75,7,8,0,fail
6,B7,0,25,75,7,7.2,0,fail
7,B7,0,25,75,7,8.5,0,fail
8,B7,0,25,75,7,8.5,0,fail
9,B7,0,25,75,7,9,0,fail
10,B7,0,25,75,7,8.8,0,fail
11,B7,0,25,75,7,8,0,fail
12,B7,0,25,75,7,8.2,0,fail
13,B7,0,25,75,7,7,0,fail
14,B7,0,25,75,7,7.8,0,fail
